County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
25 - Modoc,9/30/2013,In Construction,0,0,
25 - Modoc,9/30/2013,In Closure,0,0,
26 - Mono,9/30/2013,In Review,190794,2,
26 - Mono,9/30/2013,Pending Construction,12000,1,
26 - Mono,9/30/2013,In Construction,1000,3,
26 - Mono,9/30/2013,In Closure,533972,2,
27 - Monterey,9/30/2013,In Review,1783306,7,
27 - Monterey,9/30/2013,Pending Construction,1695634,15,
27 - Monterey,9/30/2013,In Construction,36562460,22,
27 - Monterey,9/30/2013,In Closure,4566762.06,18,
28 - Napa,9/30/2013,In Review,820000,3,Bay Area Counties
28 - Napa,9/30/2013,Pending Construction,12801298,8,Bay Area Counties
28 - Napa,9/30/2013,In Construction,33627738,15,Bay Area Counties
28 - Napa,9/30/2013,In Closure,49377790,22,Bay Area Counties
29 - Nevada,9/30/2013,In Review,15462056,5,
29 - Nevada,9/30/2013,Pending Construction,3819556,4,
29 - Nevada,9/30/2013,In Construction,30124244,21,
29 - Nevada,9/30/2013,In Closure,0,0,
30 - Orange,9/30/2013,In Review,83071242.66,99,Greater Los Angeles Counties
30 - Orange,9/30/2013,Pending Construction,33919898.33,120,Greater Los Angeles Counties
30 - Orange,9/30/2013,In Construction,285243379.1,132,Greater Los Angeles Counties
30 - Orange,9/30/2013,In Closure,320392420.2,189,Greater Los Angeles Counties
31 - Placer,9/30/2013,In Review,8772190,7,Greater Sacramento Counties
31 - Placer,9/30/2013,Pending Construction,817754,5,Greater Sacramento Counties
31 - Placer,9/30/2013,In Construction,56647157.8,18,Greater Sacramento Counties
31 - Placer,9/30/2013,In Closure,76359994.61,16,Greater Sacramento Counties
32 - Plumas,9/30/2013,In Review,45441,2,
32 - Plumas,9/30/2013,Pending Construction,83000,2,
32 - Plumas,9/30/2013,In Construction,85900,2,
32 - Plumas,9/30/2013,In Closure,0,0,
33 - Riverside,9/30/2013,In Review,293865736.7,73,
33 - Riverside,9/30/2013,Pending Construction,135245041,70,
33 - Riverside,9/30/2013,In Construction,156869202.6,134,
33 - Riverside,9/30/2013,In Closure,184581087.3,107,
34 - Sacramento,9/30/2013,In Review,47476953,45,Greater Sacramento Counties
34 - Sacramento,9/30/2013,Pending Construction,91730545,34,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Construction,266665043,119,Greater Sacramento Counties
34 - Sacramento,9/30/2013,In Closure,114055042.5,56,Greater Sacramento Counties
35 - San Benito,9/30/2013,In Review,0,0,
35 - San Benito,9/30/2013,Pending Construction,0,0,
35 - San Benito,9/30/2013,In Construction,14215455,4,
35 - San Benito,9/30/2013,In Closure,12923440,3,
36 - San Bernardino,9/30/2013,In Review,681775364.5,44,
36 - San Bernardino,9/30/2013,Pending Construction,17316724.78,60,
36 - San Bernardino,9/30/2013,In Construction,197887258.3,101,
36 - San Bernardino,9/30/2013,In Closure,188104978.3,91,
37 - San Diego,9/30/2013,In Review,517476936.8,121,
37 - San Diego,9/30/2013,Pending Construction,111627490.3,102,
37 - San Diego,9/30/2013,In Construction,634080779.9,219,
37 - San Diego,9/30/2013,In Closure,545020717,225,
38 - San Francisco,9/30/2013,In Review,945991054,64,Bay Area Counties
38 - San Francisco,9/30/2013,Pending Construction,461799530.4,67,Bay Area Counties
38 - San Francisco,9/30/2013,In Construction,1043690220,139,Bay Area Counties
38 - San Francisco,9/30/2013,In Closure,291548199.6,102,Bay Area Counties
39 - San Joaquin,9/30/2013,In Review,6625983.8,29,
39 - San Joaquin,9/30/2013,Pending Construction,89699666.8,27,
39 - San Joaquin,9/30/2013,In Construction,25464018.38,46,
39 - San Joaquin,9/30/2013,In Closure,17437938.84,15,
40 - San Luis Obispo,9/30/2013,In Review,2891415,11,
40 - San Luis Obispo,9/30/2013,Pending Construction,1531721.8,13,
40 - San Luis Obispo,9/30/2013,In Construction,4947870.1,15,
40 - San Luis Obispo,9/30/2013,In Closure,9278808,30,
41 - San Mateo,9/30/2013,In Review,77204622.16,30,Bay Area Counties
41 - San Mateo,9/30/2013,Pending Construction,35796138.96,30,Bay Area Counties
41 - San Mateo,9/30/2013,In Construction,330259579.9,72,Bay Area Counties
41 - San Mateo,9/30/2013,In Closure,58061263.01,38,Bay Area Counties
42 - Santa Barbara,9/30/2013,In Review,10741200,15,
42 - Santa Barbara,9/30/2013,Pending Construction,148130944.8,22,
42 - Santa Barbara,9/30/2013,In Construction,228084917.4,34,
42 - Santa Barbara,9/30/2013,In Closure,95546890.41,23,
43 - Santa Clara,9/30/2013,In Review,762828739,81,Bay Area Counties
43 - Santa Clara,9/30/2013,Pending Construction,179073014.2,71,Bay Area Counties
43 - Santa Clara,9/30/2013,In Construction,770953886.4,168,Bay Area Counties
43 - Santa Clara,9/30/2013,In Closure,88554637.09,140,Bay Area Counties
44 - Santa Cruz,9/30/2013,In Review,10510974,8,
44 - Santa Cruz,9/30/2013,Pending Construction,495319,7,
44 - Santa Cruz,9/30/2013,In Construction,3676689.99,22,
44 - Santa Cruz,9/30/2013,In Closure,10065661,12,
45 - Shasta,9/30/2013,In Review,24745486,20,
45 - Shasta,9/30/2013,Pending Construction,1473187,13,
45 - Shasta,9/30/2013,In Construction,5229507.81,19,
45 - Shasta,9/30/2013,In Closure,9154279,3,
46 - Sierra,9/30/2013,In Review,0,0,
46 - Sierra,9/30/2013,Pending Construction,0,0,
46 - Sierra,9/30/2013,In Construction,0,0,
46 - Sierra,9/30/2013,In Closure,0,0,
47 - Siskiyou,9/30/2013,In Review,10000,1,
47 - Siskiyou,9/30/2013,Pending Construction,726700,3,
47 - Siskiyou,9/30/2013,In Construction,1250562.07,9,
47 - Siskiyou,9/30/2013,In Closure,0,0,
48 - Solano,9/30/2013,In Review,3820069,13,Bay Area Counties
48 - Solano,9/30/2013,Pending Construction,20238515,11,Bay Area Counties
48 - Solano,9/30/2013,In Construction,30042209.13,29,Bay Area Counties
48 - Solano,9/30/2013,In Closure,32478461,21,Bay Area Counties
49 - Sonoma,9/30/2013,In Review,31381318.6,14,Bay Area Counties
49 - Sonoma,9/30/2013,Pending Construction,6366395,23,Bay Area Counties
49 - Sonoma,9/30/2013,In Construction,132698275.3,46,Bay Area Counties
49 - Sonoma,9/30/2013,In Closure,33007256.61,19,Bay Area Counties
50 - Stanislaus,9/30/2013,In Review,24690158,19,
50 - Stanislaus,9/30/2013,Pending Construction,2925000,18,
50 - Stanislaus,9/30/2013,In Construction,65800900.66,40,
50 - Stanislaus,9/30/2013,In Closure,27123046.08,46,
51 - Sutter,9/30/2013,In Review,12684000,3,
51 - Sutter,9/30/2013,Pending Construction,52033,3,
51 - Sutter,9/30/2013,In Construction,30500,2,
51 - Sutter,9/30/2013,In Closure,69410,2,
52 - Tehama,9/30/2013,In Review,359700,2,
52 - Tehama,9/30/2013,Pending Construction,414500,6,
52 - Tehama,9/30/2013,In Construction,1809800,4,
52 - Tehama,9/30/2013,In Closure,0,0,
53 - Trinity,9/30/2013,In Review,8200,2,
53 - Trinity,9/30/2013,Pending Construction,13200,2,
53 - Trinity,9/30/2013,In Construction,313838,1,
53 - Trinity,9/30/2013,In Closure,0,0,
54 - Tulare,9/30/2013,In Review,30277068,15,
54 - Tulare,9/30/2013,Pending Construction,1607698.29,5,
54 - Tulare,9/30/2013,In Construction,83885911,11,
54 - Tulare,9/30/2013,In Closure,6799608.98,30,
55 - Tuolumne,9/30/2013,In Review,8000,1,
55 - Tuolumne,9/30/2013,Pending Construction,1007100,6,
55 - Tuolumne,9/30/2013,In Construction,634000,4,
55 - Tuolumne,9/30/2013,In Closure,1161527.84,14,
56 - Ventura,9/30/2013,In Review,235193920.7,37,Greater Los Angeles Counties
56 - Ventura,9/30/2013,Pending Construction,32239356.33,36,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Construction,375405999,65,Greater Los Angeles Counties
56 - Ventura,9/30/2013,In Closure,30228225,51,Greater Los Angeles Counties
57 - Yolo,9/30/2013,In Review,683540,5,Greater Sacramento Counties
57 - Yolo,9/30/2013,Pending Construction,584000,3,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Construction,1483044,7,Greater Sacramento Counties
57 - Yolo,9/30/2013,In Closure,63505,3,Greater Sacramento Counties
58 - Yuba,9/30/2013,In Review,31461706.5,1,
58 - Yuba,9/30/2013,Pending Construction,32194189.5,3,
58 - Yuba,9/30/2013,In Construction,68363126,5,
58 - Yuba,9/30/2013,In Closure,446592,4,
01 - Alameda,10/8/2013,In Review,50890315,44,Bay Area Counties
01 - Alameda,10/8/2013,Pending Construction,840242543.4,125,Bay Area Counties
01 - Alameda,10/8/2013,In Construction,994245714,181,Bay Area Counties
01 - Alameda,10/8/2013,In Closure,65337613.88,82,Bay Area Counties
02 - Alpine,10/8/2013,In Review,0,0,
02 - Alpine,10/8/2013,Pending Construction,0,0,
02 - Alpine,10/8/2013,In Construction,0,0,
02 - Alpine,10/8/2013,In Closure,0,0,
03 - Amador,10/8/2013,In Review,1610809,2,
03 - Amador,10/8/2013,Pending Construction,0,0,
03 - Amador,10/8/2013,In Construction,1793567,9,
03 - Amador,10/8/2013,In Closure,0,0,
04 - Butte,10/8/2013,In Review,6231107,11,
04 - Butte,10/8/2013,Pending Construction,2137000,6,
04 - Butte,10/8/2013,In Construction,91178383,16,
04 - Butte,10/8/2013,In Closure,717911,5,
05 - Calaveras,10/8/2013,In Review,0,0,
05 - Calaveras,10/8/2013,Pending Construction,42500,1,
05 - Calaveras,10/8/2013,In Construction,0,0,
05 - Calaveras,10/8/2013,In Closure,177991,2,
06 - Colusa,10/8/2013,In Review,16951,2,
06 - Colusa,10/8/2013,Pending Construction,25000,1,
06 - Colusa,10/8/2013,In Construction,0,0,
06 - Colusa,10/8/2013,In Closure,0,0,
07 - Contra Costa,10/8/2013,In Review,19079779,29,Bay Area Counties
07 - Contra Costa,10/8/2013,Pending Construction,19570172,43,Bay Area Counties
07 - Contra Costa,10/8/2013,In Construction,40655626.98,56,Bay Area Counties
07 - Contra Costa,10/8/2013,In Closure,0,18,Bay Area Counties
08 - Del Norte,10/8/2013,In Review,0,0,
08 - Del Norte,10/8/2013,Pending Construction,0,0,
08 - Del Norte,10/8/2013,In Construction,6763431,5,
08 - Del Norte,10/8/2013,In Closure,262211,1,
09 - El Dorado,10/8/2013,In Review,11759315,6,Greater Sacramento Counties
09 - El Dorado,10/8/2013,Pending Construction,38333,2,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Construction,12111964,5,Greater Sacramento Counties
09 - El Dorado,10/8/2013,In Closure,23367713,4,Greater Sacramento Counties
10 - Fresno,10/8/2013,In Review,38459929.71,38,
10 - Fresno,10/8/2013,Pending Construction,9531967,33,
10 - Fresno,10/8/2013,In Construction,242098251.9,81,
10 - Fresno,10/8/2013,In Closure,16751272.37,93,
11 - Glenn,10/8/2013,In Review,0,0,
11 - Glenn,10/8/2013,Pending Construction,0,0,
11 - Glenn,10/8/2013,In Construction,224685,1,
11 - Glenn,10/8/2013,In Closure,10000,1,
12 - Humboldt,10/8/2013,In Review,5415000,8,
12 - Humboldt,10/8/2013,Pending Construction,1456000,6,
12 - Humboldt,10/8/2013,In Construction,88258714,16,
12 - Humboldt,10/8/2013,In Closure,727801,5,
13 - Imperial,10/8/2013,In Review,6035000,2,
13 - Imperial,10/8/2013,Pending Construction,81500,3,
13 - Imperial,10/8/2013,In Construction,348000,3,
13 - Imperial,10/8/2013,In Closure,558903,3,
14 - Inyo,10/8/2013,In Review,250,1,
14 - Inyo,10/8/2013,Pending Construction,39653,1,
14 - Inyo,10/8/2013,In Construction,12300,3,
14 - Inyo,10/8/2013,In Closure,41277251.54,3,
15 - Kern,10/8/2013,In Review,7493774,23,
15 - Kern,10/8/2013,Pending Construction,1090399,11,
15 - Kern,10/8/2013,In Construction,67605422,35,
15 - Kern,10/8/2013,In Closure,18268694.66,41,
16 - Kings,10/8/2013,In Review,395000,6,
16 - Kings,10/8/2013,Pending Construction,28480000,7,
16 - Kings,10/8/2013,In Construction,238722,5,
16 - Kings,10/8/2013,In Closure,735634.13,13,
17 - Lake,10/8/2013,In Review,243000,2,
17 - Lake,10/8/2013,Pending Construction,69500,2,
17 - Lake,10/8/2013,In Construction,5716410.23,16,
17 - Lake,10/8/2013,In Closure,22628.04,1,
18 - Lassen,10/8/2013,In Review,326000,1,
18 - Lassen,10/8/2013,Pending Construction,145120,1,
18 - Lassen,10/8/2013,In Construction,1164643,9,
18 - Lassen,10/8/2013,In Closure,0,0,
19 - Los Angeles,10/8/2013,In Review,542343590.1,432,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,Pending Construction,238024223.8,562,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Construction,2339840926,843,Greater Los Angeles Counties
19 - Los Angeles,10/8/2013,In Closure,572379077.3,655,Greater Los Angeles Counties
20 - Madera,10/8/2013,In Review,695954,1,
20 - Madera,10/8/2013,Pending Construction,864400,2,
20 - Madera,10/8/2013,In Construction,4080108,20,
20 - Madera,10/8/2013,In Closure,16551457.52,25,
21 - Marin,10/8/2013,In Review,178957915,17,Bay Area Counties
21 - Marin,10/8/2013,Pending Construction,44515860,9,Bay Area Counties
21 - Marin,10/8/2013,In Construction,25456399,21,Bay Area Counties
21 - Marin,10/8/2013,In Closure,5510444,12,Bay Area Counties
22 - Mariposa,10/8/2013,In Review,0,0,
22 - Mariposa,10/8/2013,Pending Construction,0,0,
22 - Mariposa,10/8/2013,In Construction,0,0,
22 - Mariposa,10/8/2013,In Closure,0,0,
23 - Mendocino,10/8/2013,In Review,3466175,7,
23 - Mendocino,10/8/2013,Pending Construction,16013000,5,
23 - Mendocino,10/8/2013,In Construction,2246074,13,
23 - Mendocino,10/8/2013,In Closure,37711600,7,
24 - Merced,10/8/2013,In Review,192185.2,5,
24 - Merced,10/8/2013,Pending Construction,237500,3,
24 - Merced,10/8/2013,In Construction,12965854,4,
24 - Merced,10/8/2013,In Closure,343375,5,
25 - Modoc,10/8/2013,In Review,0,0,
25 - Modoc,10/8/2013,Pending Construction,12500,1,
25 - Modoc,10/8/2013,In Construction,0,0,
25 - Modoc,10/8/2013,In Closure,0,0,
26 - Mono,10/8/2013,In Review,190794,2,
26 - Mono,10/8/2013,Pending Construction,12000,1,
26 - Mono,10/8/2013,In Construction,1000,3,
26 - Mono,10/8/2013,In Closure,533972,2,
27 - Monterey,10/8/2013,In Review,1947806,8,
27 - Monterey,10/8/2013,Pending Construction,1683276,14,
27 - Monterey,10/8/2013,In Construction,36295671,20,
27 - Monterey,10/8/2013,In Closure,4661443.06,20,
28 - Napa,10/8/2013,In Review,875000,4,Bay Area Counties
28 - Napa,10/8/2013,Pending Construction,12801298,8,Bay Area Counties
28 - Napa,10/8/2013,In Construction,33159755,14,Bay Area Counties
28 - Napa,10/8/2013,In Closure,50466031,20,Bay Area Counties
29 - Nevada,10/8/2013,In Review,15462056,5,
29 - Nevada,10/8/2013,Pending Construction,3819556,4,
29 - Nevada,10/8/2013,In Construction,30359244,21,
29 - Nevada,10/8/2013,In Closure,0,0,
30 - Orange,10/8/2013,In Review,83171304.66,98,Greater Los Angeles Counties
30 - Orange,10/8/2013,Pending Construction,33930898.33,121,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Construction,285215772.1,133,Greater Los Angeles Counties
30 - Orange,10/8/2013,In Closure,319888695.2,191,Greater Los Angeles Counties
31 - Placer,10/8/2013,In Review,8897190,8,Greater Sacramento Counties
31 - Placer,10/8/2013,Pending Construction,817754,5,Greater Sacramento Counties
31 - Placer,10/8/2013,In Construction,56620358.8,17,Greater Sacramento Counties
31 - Placer,10/8/2013,In Closure,76386793.61,17,Greater Sacramento Counties
32 - Plumas,10/8/2013,In Review,45441,2,
32 - Plumas,10/8/2013,Pending Construction,83000,2,
32 - Plumas,10/8/2013,In Construction,85900,2,
32 - Plumas,10/8/2013,In Closure,0,0,
33 - Riverside,10/8/2013,In Review,293782736.7,73,
33 - Riverside,10/8/2013,Pending Construction,135174446,70,
33 - Riverside,10/8/2013,In Construction,156984533.6,131,
33 - Riverside,10/8/2013,In Closure,185873741.3,110,
34 - Sacramento,10/8/2013,In Review,46784298,44,Greater Sacramento Counties
34 - Sacramento,10/8/2013,Pending Construction,92122260,35,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Construction,266798568,120,Greater Sacramento Counties
34 - Sacramento,10/8/2013,In Closure,110752565.4,51,Greater Sacramento Counties
35 - San Benito,10/8/2013,In Review,0,0,
35 - San Benito,10/8/2013,Pending Construction,0,0,
35 - San Benito,10/8/2013,In Construction,14215455,4,
35 - San Benito,10/8/2013,In Closure,12923440,3,
36 - San Bernardino,10/8/2013,In Review,681245056.5,43,
36 - San Bernardino,10/8/2013,Pending Construction,15031364.78,49,
36 - San Bernardino,10/8/2013,In Construction,200656402.3,112,
36 - San Bernardino,10/8/2013,In Closure,188115939.3,92,
37 - San Diego,10/8/2013,In Review,518364093.8,126,
37 - San Diego,10/8/2013,Pending Construction,110693790.3,96,
37 - San Diego,10/8/2013,In Construction,614451060.9,210,
37 - San Diego,10/8/2013,In Closure,452164179,235,
38 - San Francisco,10/8/2013,In Review,941144054,63,Bay Area Counties
38 - San Francisco,10/8/2013,Pending Construction,461843530.4,67,Bay Area Counties
38 - San Francisco,10/8/2013,In Construction,1043478038,136,Bay Area Counties
38 - San Francisco,10/8/2013,In Closure,296224727.6,101,Bay Area Counties
39 - San Joaquin,10/8/2013,In Review,5270479.8,26,
39 - San Joaquin,10/8/2013,Pending Construction,91068070.8,30,
39 - San Joaquin,10/8/2013,In Construction,25261725.38,45,
39 - San Joaquin,10/8/2013,In Closure,17414916.84,15,
40 - San Luis Obispo,10/8/2013,In Review,2891415,11,
40 - San Luis Obispo,10/8/2013,Pending Construction,1539721.8,13,
40 - San Luis Obispo,10/8/2013,In Construction,4706570.1,15,
40 - San Luis Obispo,10/8/2013,In Closure,9523308,30,
41 - San Mateo,10/8/2013,In Review,76750622.16,28,Bay Area Counties
41 - San Mateo,10/8/2013,Pending Construction,36040138.96,32,Bay Area Counties
41 - San Mateo,10/8/2013,In Construction,329339610.9,67,Bay Area Counties
41 - San Mateo,10/8/2013,In Closure,59086232.01,42,Bay Area Counties
42 - Santa Barbara,10/8/2013,In Review,10741200,15,
42 - Santa Barbara,10/8/2013,Pending Construction,149282187.8,22,
42 - Santa Barbara,10/8/2013,In Construction,228096917.4,34,
42 - Santa Barbara,10/8/2013,In Closure,95552890.41,23,
43 - Santa Clara,10/8/2013,In Review,763865453.3,80,Bay Area Counties
43 - Santa Clara,10/8/2013,Pending Construction,178505703.8,71,Bay Area Counties
43 - Santa Clara,10/8/2013,In Construction,769666467.8,165,Bay Area Counties
43 - Santa Clara,10/8/2013,In Closure,91227844.85,141,Bay Area Counties
44 - Santa Cruz,10/8/2013,In Review,10510974,8,
44 - Santa Cruz,10/8/2013,Pending Construction,495319,7,
44 - Santa Cruz,10/8/2013,In Construction,3549812.99,21,
44 - Santa Cruz,10/8/2013,In Closure,10195895.5,14,
45 - Shasta,10/8/2013,In Review,24745486,20,
45 - Shasta,10/8/2013,Pending Construction,1481187,13,
45 - Shasta,10/8/2013,In Construction,5229507.81,19,
45 - Shasta,10/8/2013,In Closure,9154279,3,
46 - Sierra,10/8/2013,In Review,0,0,
46 - Sierra,10/8/2013,Pending Construction,0,0,
46 - Sierra,10/8/2013,In Construction,0,0,
46 - Sierra,10/8/2013,In Closure,0,0,
47 - Siskiyou,10/8/2013,In Review,10000,1,
47 - Siskiyou,10/8/2013,Pending Construction,726700,3,
47 - Siskiyou,10/8/2013,In Construction,1090562.07,7,
47 - Siskiyou,10/8/2013,In Closure,60000,2,
48 - Solano,10/8/2013,In Review,3770069,11,Bay Area Counties
48 - Solano,10/8/2013,Pending Construction,9788515,12,Bay Area Counties
48 - Solano,10/8/2013,In Construction,42042209.13,30,Bay Area Counties
48 - Solano,10/8/2013,In Closure,31418524,17,Bay Area Counties
49 - Sonoma,10/8/2013,In Review,31381318.6,14,Bay Area Counties
49 - Sonoma,10/8/2013,Pending Construction,6376395,24,Bay Area Counties
49 - Sonoma,10/8/2013,In Construction,132633275.3,45,Bay Area Counties
49 - Sonoma,10/8/2013,In Closure,32737034.3,18,Bay Area Counties
50 - Stanislaus,10/8/2013,In Review,24530158,18,
50 - Stanislaus,10/8/2013,Pending Construction,5015927,18,
50 - Stanislaus,10/8/2013,In Construction,65346519.66,39,
50 - Stanislaus,10/8/2013,In Closure,27886492.48,48,
51 - Sutter,10/8/2013,In Review,12684000,3,
51 - Sutter,10/8/2013,Pending Construction,52033,3,
51 - Sutter,10/8/2013,In Construction,30500,2,
51 - Sutter,10/8/2013,In Closure,23000,1,
52 - Tehama,10/8/2013,In Review,359700,2,
52 - Tehama,10/8/2013,Pending Construction,414500,6,
52 - Tehama,10/8/2013,In Construction,1809800,4,
52 - Tehama,10/8/2013,In Closure,0,0,
53 - Trinity,10/8/2013,In Review,8200,2,
53 - Trinity,10/8/2013,Pending Construction,13200,2,
53 - Trinity,10/8/2013,In Construction,313838,1,
53 - Trinity,10/8/2013,In Closure,0,0,
54 - Tulare,10/8/2013,In Review,33777068,16,
54 - Tulare,10/8/2013,Pending Construction,1567698.29,4,
54 - Tulare,10/8/2013,In Construction,83883087,11,
54 - Tulare,10/8/2013,In Closure,6858222.98,31,
55 - Tuolumne,10/8/2013,In Review,8000,1,
55 - Tuolumne,10/8/2013,Pending Construction,1007100,6,
55 - Tuolumne,10/8/2013,In Construction,634000,4,
55 - Tuolumne,10/8/2013,In Closure,1203773.91,14,
56 - Ventura,10/8/2013,In Review,235177920.7,35,Greater Los Angeles Counties
56 - Ventura,10/8/2013,Pending Construction,32449356.33,36,Greater Los Angeles Counties
56 - Ventura,10/8/2013,In Construction,375407499,65,Greater Los Angeles Counties
56 - Ventura,10/8/2013,In Closure,30244225,53,Greater Los Angeles Counties
57 - Yolo,10/8/2013,In Review,683540,5,Greater Sacramento Counties
